airport_ident,type,name,iso_country,iso_region,municipality
04IS,small_airport,Van Gorder Airport,US,US-IL,Mansfield
04KS,closed,Robinson Industries Heliport,US,US-KS,Lawrence
04KY,small_airport,Natchez Trace Farm Airport,US,US-KY,Hiseville
04LA,heliport,Saint James Parish Hospital Heliport,US,US-LA,Lutcher
04LL,small_airport,Brunner Airport,US,US-IL,West Dundee
04LS,heliport,La National Guard Heliport,US,US-LA,Baton Rouge
04MA,small_airport,Goddard Field,US,US-MA,Haverhill
04MD,heliport,Chesapeake City Heliport,US,US-MD,Chesapeake City
04ME,small_airport,Beech Hill Airport,US,US-ME,Mercer
04MI,small_airport,Rapids Airway Airport,US,US-MI,Eaton Rapids
04MN,small_airport,Helblad Airport,US,US-MN,Kelliher
04MO,closed,Airpark Private Airport,US,US-MO,Vandalia
04MT,small_airport,Pluhar Airport,US,US-MT,Cohagen
04NC,heliport,Western Wake Medical Center Heliport,US,US-NC,Cary
04NE,small_airport,Mc Connell Field Airport,US,US-NE,Sarben
04NJ,small_airport,Emmanuel Airport,US,US-NJ,Elmer
04NR,heliport,McGee 04 Heliport,US,US-NC,Jacksonville
04NY,small_airport,Klaverack Airport,US,US-NY,Hudson
04OG,heliport,Teufel Heliport,US,US-OR,Forest Grove
04OH,closed,Bossow Airport,US,US-OH,Garrettsville
04OK,heliport,Stillwater Medical Center Heliport,US,US-OK,Stillwater
04PA,heliport,S & C Distribution Center Heliport,US,US-PA,Philadelphia
04PN,heliport,Strawbridge & Clothier Exton Heliport,US,US-PA,Exton
04SC,heliport,Emergency Helipad,US,US-SC,Easley
04SD,heliport,Cheyenne River Health Center Heliport,US,US-SD,Eagle Butte
04TA,closed,Capitol National Bank Building Heliport,US,US-TX,Austin
04TE,heliport,Veterans Affairs Medical Center Heliport,US,US-TX,Houston
04TN,small_airport,Hensley Airpark,US,US-TN,Chuckey
04TS,heliport,Hummingbird Heliport,US,US-TX,Round Rock
04TT,small_airport,4D Ranch Airport,US,US-TX,Utopia
04TX,small_airport,Pocock Airport,US,US-TX,China Spring
04UT,small_airport,Navajo Mountain Airport,US,US-UT,Navajo Mountain
04V,small_airport,Saguache Municipal Airport,US,US-CO,Saguache
04VA,heliport,Russell County Medical Center Heliport,US,US-VA,Lebanon
04VG,small_airport,Manquin Flight Park Ultralightport,US,US-VA,Manquin
04VT,small_airport,Lightning Bolt Field Airport,US,US-VT,Cabot
04W,small_airport,Field of Dreams Airport,US,US-MN,Hinckley
04WA,small_airport,Ox Meadows Airport,US,US-WA,Spokane
04WI,small_airport,Dutch Gap Airstrip,US,US-WI,Bristol
04WN,small_airport,Stillwater Creek Airport,US,US-WA,Royal City
04WV,heliport,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,US,US-WV,Morgantown
04XS,closed,Schmidts Heliport,US,US-TX,Mansfield
05AK,small_airport,Wasilla Creek Airpark,US,US-AK,Palmer
05AL,heliport,Allen Stagefield Army Heliport,US,US-AL,Fort Rucker/Wicksburg
05AR,small_airport,Ozark Skies Airpark,US,US-AR,Kingston
05AZ,heliport,Yuma Regional Medical Center Heliport,US,US-AZ,Yuma
05B,seaplane_base,Van Buren Seaplane Base,US,US-ME,Van Buren
05CA,heliport,Lost Hills Sheriff's Station Heliport,US,US-CA,Calabasas
05CO,small_airport,Rancho de Aereo Airport,US,US-CO,Mead
05CT,heliport,O And G Heliport,US,US-CT,Torrington
05FA,small_airport,Melanie's Airport,US,US-FL,Florala
05FD,heliport,Aventura Heliport,US,US-FL,North Miami Beach
05FL,small_airport,Charlton Strip,US,US-FL,La Belle
05GA,small_airport,Raju Airport,US,US-GA,Richland
05IA,small_airport,Spotts Field,US,US-IA,Nora Springs
05ID,small_airport,Running Creek Ranch Airport,US,US-ID,Elk City
05II,closed,Reichhart Airport,US,US-IN,New Haven
05IL,small_airport,Classic Landings Airport,US,US-IL,Bonfield
05IN,small_airport,Cooper Airport,US,US-IN,Belleville
05IS,small_airport,Hardy Airport,US,US-IL,Mount Auburn
05KS,small_airport,Darbro Field,US,US-KS,Elk City
05KT,small_airport,High Point Farm Airport,US,US-KY,Frankfort
05KY,small_airport,Cartersville Airport,US,US-KY,Paint Lick
05LA,small_airport,Greg's Flying Service Airport,US,US-LA,Winnsboro
05LL,heliport,Midwest Heliport,US,US-IL,Willowbrook
05LS,small_airport,Grass Roots Airport,US,US-LA,Alexandria
05MA,heliport,Bentley Heliport,US,US-MA,Ipswich
05MD,small_airport,Breezecroft Airport,US,US-MD,Chestertown
05ME,small_airport,Drisko Airport,US,US-ME,Jonesboro
05MO,closed,Portageville Community Heliport,US,US-MO,Portageville
05MS,heliport,VA Medical Center Jackson Heliport,US,US-MS,Jackson
05NC,closed,Brunswick Community Hospital Heliport,US,US-NC,Supply
05NE,small_airport,Mc Kay Airport,US,US-NE,Spalding
05NH,heliport,Stumpfield Heliport,US,US-NH,Kensington
05NJ,heliport,Paulus Hook Pier Heliport,US,US-NJ,Jersey City
05NY,heliport,Oswego County At Pulaski Heliport,US,US-NY,Pulaski
05OG,heliport,Drill Field Pad Heliport,US,US-OR,Eugene
05OI,small_airport,Dorlon Airpark,US,US-OH,Columbia Station
05OK,closed,Hawk Haven Airport,US,US-OK,Crescent
